,Path,File_Name,Title,Year,Rating,Resolution,Aspect_Ratio,Detailed_Aspect_Ratio,File Size,Run_Time(Minutes)
118,//nubian/archives/movies/movies/Action & Adventure/Kingsman 2 The Golden Circle [R].m4v,Kingsman 2 The Golden Circle [R].m4v,Kingsman 2 The Golden Circle,,R,700x400,1.75,720.0x360.0,1352,141.00808999999998
119,//nubian/archives/movies/movies/Action & Adventure/Shooter [CF].m4v,Shooter [CF].m4v,Shooter,,CF,700x400,1.75,720.0x356.0,792,122.96284
120,//nubian/archives/movies/movies/Action & Adventure/Lethal Weapon [CF].m4v,Lethal Weapon [CF].m4v,Lethal Weapon,,CF,600x400,1.5,640.0x368.0,993,101.74219583333333
121,"//nubian/archives/movies/movies/Action & Adventure/Way of the Dragon, The [R].m4v","Way of the Dragon, The [R].m4v","Way of the Dragon, The",,R,500x200,2.5,528.0x224.0,883,95.00066666666666
122,"//nubian/archives/movies/movies/Action & Adventure/Bourne Legacy, The (2012) [PG-13].m4v","Bourne Legacy, The (2012) [PG-13].m4v","Bourne Legacy, The",2012,PG-13,700x400,1.75,720.0x356.0,826,135.0380974074075
123,"//nubian/archives/movies/movies/Action & Adventure/Losers, The (2010) [PG-13].mp4","Losers, The (2010) [PG-13].mp4","Losers, The",2010,PG-13,700x300,2.3333333333333335,720.0x302.0,952,96.98188499999999
124,//nubian/archives/movies/movies/Action & Adventure/King Arthur [CF].m4v,King Arthur [CF].m4v,King Arthur,,CF,700x400,1.75,708.0x362.0,951,136.02477777777779
125,//nubian/archives/movies/movies/Action & Adventure/James Bond 15 The Living Daylights [PG].mp4,James Bond 15 The Living Daylights [PG].mp4,James Bond 15 The Living Daylights,,PG,500x200,2.5,480.0x208.0,622,130.3468298611111
126,//nubian/archives/movies/movies/Action & Adventure/Cherry 2000 (1987) [PG-13].m4v,Cherry 2000 (1987) [PG-13].m4v,Cherry 2000,1987,PG-13,600x400,1.5,640.0x352.0,1170,98.2849920138889
127,//nubian/archives/movies/movies/Action & Adventure/James Bond 08 Live and Let Die [PG].mp4,James Bond 08 Live and Let Die [PG].mp4,James Bond 08 Live and Let Die,,PG,500x300,1.6666666666666667,480.0x272.0,758,121.01700694444445
128,//nubian/archives/movies/movies/Action & Adventure/Lionheart (1990) [R].avi,Lionheart (1990) [R].avi,Lionheart,1990,R,600x400,1.5,640.0x352.0,701,103.87733333333334
